song_id,title,artist,genre,streams_m,yr,dur_min,rating,country
1,Midnight Echo,Luna Ray,Pop,120.5,2022,3.4,8.2,USA
2,Neon Lights,The Static,Rock,85.3,2021,4.1,7.5,UK
3,Ocean Drive,Kai Sun,Pop,210.8,2023,3.2,9.1,Australia
4,Burnout,Rey J,Hip-hop,,2022,2.8,7.8,USA
5,Golden Hour,Ava Shore,Pop,95.2,2020,3.8,,UK
6,Rebel Heart,The Static,Rock,62.1,2021,5.2,6.9,UK
1,Midnight Echo,Luna Ray,Pop,120.5,2022,3.4,8.2,USA
8,Fire Season,Mara J,R&B,,2023,3.6,8.5,US
9,Running Free,DJ Boost,hiphop,43.2,2021,4.5,,Australia
10,Starfall,Kai Sun,pop,178.4,2022,3.1,8.9,Aus
11,Cold Front,Rey J,Hip Hop,55.7,2020,3.9,7.2,
12,Polarize,Ava Shore,POP,310.5,2023,2.9,9.5,USA
13,Easy Rider,Mara J,r&b,,2022,4.2,7.1,us
2,Neon Lights,The Static,Rock,85.3,2021,4.1,7.5,UK
15,Gravity Falls,Luna Ray,Pop,65.0,2021,3.7,,UK
16,Solar Wind,DJ Boost,Hip-hop,22.8,2020,5.0,6.5,USA
17,Haze,Rey J,Hip Hop,88.9,2023,3.3,,
18,Velvet Rose,Ava Shore,R&B,145.3,2022,4.0,8.1,USA
19,Timeless,Mara J,R&B,200.0,2021,3.5,9.0,Australia
20,Echo Chamber,The Static,Rock,,2020,4.8,7.0,United Kingdom
21,Deep Blue,Kai Sun,Pop,55.5,2021,3.2,,Aus
22,Firefly,Luna Ray,pop,132.7,2023,3.6,8.7,USA
1,Midnight Echo,Luna Ray,Pop,120.5,2022,3.4,8.2,USA
24,Storm Chaser,DJ Boost,Hip-hop,77.1,2022,4.3,8.0,UK
25,Surrender,Ava Shore,Pop,42.0,2020,3.0,6.8,Australia
26,Moonrise,Rey J,Hiphop,,2023,3.8,,USA
27,Ember,Mara J,R&B,93.4,2022,4.1,7.9,UK
28,Shatterproof,The Static,rock,38.5,2021,5.5,7.3,USA
29,Aurora,Kai Sun,Pop,255.2,2023,3.0,9.3,
30,Afterglow,Luna Ray,POP,167.8,2022,3.3,8.4,UK
